content_id,content_type,locale,slug,route,title,approval_state,publication_state,visibility,translation_state
profile.identity.en,profile_identity,en,identity,/,Taha Mohammadi,needs-owner-input,draft,public,approved
profile.identity.fa,profile_identity,fa,identity,/,طه محمدی,needs-owner-input,draft,public,approved
profile.bio.en,profile_bio,en,bio,/about,About Taha,needs-owner-input,draft,public,approved
profile.bio.fa,profile_bio,fa,bio,/about,درباره طه محمدی,needs-owner-input,draft,public,approved
research.statement.en,research_statement,en,research-statement,/research,Research Statement,needs-owner-input,draft,public,approved
research.statement.fa,research_statement,fa,research-statement,/research,بیانیه پژوهشی,needs-owner-input,draft,public,approved
research.focus.human-centered-ai.en,research_focus,en,human-centered-ai,/research,Human-Centered AI,needs-owner-input,draft,public,untranslated
research.focus.trustworthy-controllable-ai.en,research_focus,en,trustworthy-controllable-ai,/research,Trustworthy & Controllable AI,needs-owner-input,draft,public,untranslated
research.focus.visual-analytics-decision-support.en,research_focus,en,visual-analytics-decision-support,/research,Visual Analytics & Decision Support,needs-owner-input,draft,public,untranslated
research.focus.behavioral-data-personalization.en,research_focus,en,behavioral-data-personalization,/research,Behavioral Data & Personalization,needs-owner-input,draft,public,untranslated
research.focus.edge-local-ai.en,research_focus,en,edge-local-ai,/research,Edge & Local AI,needs-owner-input,draft,public,untranslated
research.focus.digital-health-wearable-ai.en,research_focus,en,digital-health-wearable-ai,/research,Digital Health & Wearable AI,needs-owner-input,draft,public,untranslated
engineering.statement.en,engineering_statement,en,engineering,/about,Engineering,needs-owner-input,draft,public,approved
engineering.statement.fa,engineering_statement,fa,engineering,/about,مهندسی,needs-owner-input,draft,public,approved
project.pars-sql.en,project,en,pars-sql-vtd-edge,/projects,PARS-SQL / VTD-Edge,needs-owner-input,draft,public,approved
project.pars-sql.fa,project,fa,pars-sql-vtd-edge,/projects,PARS-SQL / VTD-Edge,needs-owner-input,draft,public,approved
project.behavior-platform.en,project,en,behavioral-evidence-personalization,/projects,Behavioral Evidence & Personalization Platform,private,not-public,private,approved
project.behavior-platform.fa,project,fa,behavioral-evidence-personalization,/projects,پلتفرم شواهد رفتاری و شخصی‌سازی,private,not-public,private,approved
project.dashboard-research.en,project,en,organizational-dashboard-research,/projects,Organizational Dashboard Research & Design,needs-owner-input,draft,public,approved
project.dashboard-research.fa,project,fa,organizational-dashboard-research,/projects,پژوهش و طراحی داشبوردهای سازمانی,needs-owner-input,draft,public,approved
writing.visual-discourse.en,writing,en,visual-discourse-elections,/writing,A Comparative Analysis of Reformist and Principlist Visual Discourses in Presidential Elections (1997–2017),needs-owner-input,draft,public,not-needed
writing.vtd-edge.en,writing,en,vtd-edge-manuscript,/writing,"VTD-Edge: Reliable, Privacy-Preserving Persian NLP-to-SQL on Resource-Constrained Devices",needs-owner-input,draft,public,not-needed
writing.dashboard-book.en,writing,en,dashboard-data-storytelling-book,/writing,Guidelines for Designing Information Dashboards Using Data Storytelling Methodology,needs-owner-input,draft,public,approved
writing.dashboard-book.fa,writing,fa,dashboard-data-storytelling-book,/writing,راهنمای طراحی داشبوردهای اطلاعاتی با رویکرد داستان‌گویی داده,needs-owner-input,draft,public,approved
education.ma.visual-communication.en,education,en,ma-visual-communication,/about/education,M.A. in Visual Communication,needs-owner-input,draft,public,approved
education.ma.visual-communication.fa,education,fa,ma-visual-communication,/about/education,کارشناسی ارشد ارتباط تصویری,needs-owner-input,draft,public,approved
education.ba.interior-architecture.en,education,en,ba-interior-architecture,/about/education,B.A. in Interior Architecture,needs-owner-input,draft,public,approved
